,phone_no_m,sms_count,sms_nunique,sms_rate,calltype_2,calltype_rate,hour_mode,hour_mode_count,hour_nunique,day_mode,day_mode_count,day_nunique,busi_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,month_ids,flow_month,arpu_mean,arpu_var,arpu_max,arpu_min,arpu_median,arpu_sum,arpu_skew,arpu_sem,arpu_quantile,label
4713,ce72adbcd1e5e7b174252f6b861311b24961f2687e93b0df06793937192243b27498bbb7d960eee9b720c584f6fa418eeefaefd6e452f9cd5d78a93aace1be1a,33.0,11.0,3.0,31.0,0.9393939393939394,10.0,12.0,11.0,5.0,21.0,4.0,0,0.0,0.0,0.0,0.0,,0.0,0,,,,,,,0.0,,,,1
4703,0414a9aa11d9aedc821186c3f99a51fc50128efdaa13831ba57548aedebec4ee9ee869b4c360128ab1ca7d768df7b805d4d700f67034ed47736de0cdc13523ed,119.0,9.0,13.22222222222222,119.0,1.0,10.0,20.0,9.0,2.0,24.0,14.0,0,0.0,0.0,0.0,0.0,,0.0,0,,37.31666666666667,988.1256666666666,87.5,1.0,27.85,223.9,0.7659721727260194,12.833067096805468,27.85,1
2092,600b8a0fec7ba9912977e35f55774803887d5be29f0ab1fbe04e4e28b1a4e3af2c4fff2eb21dfe3f255b481b3257cc7142e4d347431aa2f267dff78a9c810871,45.0,3.0,15.0,38.0,0.8444444444444444,12.0,14.0,7.0,12.0,29.0,4.0,13,1.716808795928955,0.0042552947998046,0.0007362365722656,23.95355796813965,40.96231378745153,24.03532314300537,1,24.03532314300537,50.92,,50.92,50.92,50.92,50.92,,,50.92,1
2093,5a358c7d6b42801633771d03741ccc0189dfae1324f3395ff88dcb2cfc1e44b3a57938bd7f3382e65ec5cb9fbd9d101b5c2a63f1faa60ffcf5d97f84ad307360,248.0,9.0,27.55555555555556,209.0,0.842741935483871,11.0,45.0,14.0,21.0,91.0,6.0,22,5.807896282361901,0.0147619247436523,0.0003023147583007,132.58999824523926,763.8435277995994,133.58161449432373,1,133.58161449432373,75.88,,75.88,75.88,75.88,75.88,,,75.88,1
4702,1ee316b490cc01d73f44d8391fed65280c2df3afb6cea5725feb1e83ae7eb1eb18c637239d003b1de490a65a5dfd74614d017c6314bd24f695bb580f3717717a,1643.0,336.0,4.8898809523809526,1538.0,0.9360925136944612,12.0,174.0,23.0,8.0,110.0,31.0,292,71.95331660611036,0.2276749610900878,0.0001077651977539,16430.871935844418,354792.3021224127,77421.76866817474,7,11060.252666882106,202.39625,2.5155410714285686,204.3,201.0,201.785,1619.17,0.3261209088863373,0.5607518470130715,201.785,1
4699,ec1d0f106aa048dc5d7d0fc31b071abb2d336efad07169b4223285e7539ee93031973b130218835674f6d6975dd981c630111da9909dd6d9428d67296af6fd8a,46.0,10.0,4.6,42.0,0.9130434782608696,20.0,11.0,10.0,4.0,20.0,5.0,0,0.0,0.0,0.0,0.0,,0.0,0,,72.13499999999999,9298.38845,140.32,3.95,72.13499999999999,144.26999999999998,,68.18499999999999,72.13499999999999,1
2098,6c64e518c3e8c2163ace9470fc740619e0b68b56a1865679f9aad61e74117bbd18a2eb43f9f20d3d5940d3ebc7718119d99ab43bce7c5b0a0a1e9a938c1f80f3,356.0,342.0,1.04093567251462,22.0,0.0617977528089887,11.0,341.0,6.0,7.0,342.0,5.0,0,0.0,0.0,0.0,0.0,,0.0,0,,5.1625,138.61124999999996,34.3,1.0,1.0,41.3,2.82842712474619,4.162499999999999,1.0,1
4695,0d540d96c08fc23dd3fbfa2c82ebce829e4e880bbb4d655ab4bd44411cd092ca746e2f123999ca46b62a7e214881108d369e4ea122752e28a4bfccf9f662517b,2645.0,362.0,7.306629834254144,2585.0,0.9773156899810964,16.0,269.0,23.0,21.0,143.0,31.0,341,65.43814819333218,0.30035400390625,7.43865966796875e-05,9538.652714729307,325009.81508874183,91809.72191524506,8,11476.215239405632,204.96,84.27851428571437,227.68,201.7,201.7,1639.6799999999998,2.82834508692338,3.2457378646024844,201.7,1
4712,1feb47cfab4fa2352bae9f6dd8fd830b545a1f0b516b99b7c64f5cdc665ac5e9419cd3b6855220cc502a413969e468a4d005a9fb1ca57e826f52a6c45ae2095d,87.0,10.0,8.7,83.0,0.9540229885057472,16.0,40.0,11.0,19.0,47.0,6.0,15,9.243423104286194,0.0092320442199706,0.0009422302246093,147.50204372406006,1359.323625541059,147.8947696685791,1,147.8947696685791,99.67,,99.67,99.67,99.67,99.67,,,99.67,1
4714,3e70cbf4408fc20d8f5bd95aa800ed0a73b0f958908df4eaa5c8498aa2beca0f837765d60294216dc34b1602642ff687f7991806f5643b5b5e3191d8bf2b16eb,15.0,2.0,7.5,13.0,0.8666666666666667,14.0,8.0,3.0,25.0,13.0,2.0,0,0.0,0.0,0.0,0.0,,0.0,0,,12.63,,12.63,12.63,12.63,12.63,,,12.63,1
2105,c63398c49988729d3dd781e368d1986b558489f57be947a1699e5cb4762b4027367d213ac09e318b172b24936b37b1820eeefd85fb52b54ca8122b9c2dbd32d0,188.0,7.0,26.857142857142858,155.0,0.824468085106383,0.0,31.0,17.0,8.0,49.0,9.0,0,0.0,0.0,0.0,0.0,,0.0,0,,78.3,46573.52,612.4,2.0,2.0,626.4,2.8284271247461907,76.3,2.0,1
4725,4072b6b760113fc98a817883add36b6acd4fb9a4ceae348e96d528e7176d6509f3b8f54a5a3c2a38b071346e6b4c9371ae864ef548589d4293f43e5aaaf4344a,279.0,19.0,14.68421052631579,268.0,0.9605734767025088,11.0,67.0,13.0,27.0,74.0,13.0,22,0.4972750473022461,0.0262784957885742,0.0009622573852539,10.9478178024292,4.749738960240903,12.431876182556152,2,6.215938091278076,44.875,2021.84405,76.67,13.08,44.875,89.75,,31.795,44.875,1
2042,7e7fb9d521fc4e8d340efd0105cca0e1c72380a4422266ecc645a81b42470c143f9608c0a12a080bc33322a4f37bb37c4eb213e8341b9d7cdf0f135983bc1244,347.0,63.0,5.507936507936508,252.0,0.7262247838616714,16.0,58.0,15.0,28.0,66.0,18.0,34,6.403545663711872,0.0453987121582031,0.0001564025878906,107.00418090820312,412.4920572048944,300.966646194458,2,150.483323097229,78.01,10252.8373,194.93,19.2,19.9,234.03,1.7319576832729895,58.460349240603534,19.9,1
2046,b786e13d1caf970318d5aba17bf831211f03799bd328a3ecdffa3d79cee9b24102c49528758e57fb5efc8d8e88ff02290d59b244b21e7b62b3fb34db4ffaa70d,472.0,9.0,52.44444444444444,384.0,0.8135593220338984,7.0,54.0,24.0,8.0,110.0,11.0,20,5.356250081743513,0.0111093521118164,0.0013542175292968,61.33336162567139,287.0063048879323,112.48125171661376,1,112.48125171661376,64.09,10165.5405,244.45,19.0,19.0,320.45,2.23606797749979,45.09,19.0,1
4729,4838c99d8f1179703b75b49c6820b4640b6fd1fb2868c6be8acb0aed8b5ac6b5fd44df29805b20f1badfea46a12e57e9611b8968385aab20a91aae09207d539a,104.0,21.0,4.9523809523809526,96.0,0.9230769230769232,13.0,65.0,7.0,26.0,68.0,4.0,0,0.0,0.0,0.0,0.0,,0.0,0,,40.695,2713.63445,77.53,3.86,40.695,81.39,,36.835,40.695,1
4728,e5a38b19e6a579d899202beae134a793a3c8b41b346fc0e77e98e73aca6bc4fe5069e515988457d1760d0e0987de4b292d84c993a0719a9ed531da1cbed435e1,140.0,11.0,12.727272727272728,117.0,0.8357142857142857,11.0,19.0,12.0,4.0,44.0,6.0,5,4.282296975453694,0.012089729309082,0.0013446807861328,25.64376926422119,109.51506998495476,25.693781852722168,1,25.693781852722168,36.98799999999999,1026.90032,92.96,19.0,19.0,184.94,1.9990943415433933,14.33108732790363,19.0,1
2052,94b03508e3e9e7d7ab8e13ecc2294ca49e2fec8bef25fbb359ddf59dc6dbc63c3c0da725120beeb4aba9e51d88e28c5003ee685926e5ae429d9647c7d2abcf0a,72.0,11.0,6.545454545454546,71.0,0.9861111111111112,11.0,32.0,9.0,1.0,28.0,8.0,13,8.305727686200822,0.0128130912780761,0.0016098022460937,115.85115718841551,958.1362426359124,116.28018760681152,1,116.28018760681152,80.78,,80.78,80.78,80.78,80.78,,,80.78,1
2054,1320aafa9001fb28fa1e794627e855d5e7377294ea8a65c9954b2f0de4a6dfb5f8ebf47a96d6aa610a33a0ca02bb7187cca6ed3f148668897c031641b48f8520,33.0,12.0,2.75,33.0,1.0,11.0,12.0,11.0,14.0,16.0,4.0,23,0.2920836668748122,0.0393271446228027,0.0002517700195312,4.986373901367188,0.9604240732235434,7.594175338745117,1,7.594175338745117,34.1425,589.7612249999999,70.57,22.0,22.0,136.57,2.0,12.142499999999998,22.0,1
4726,d91f98c0495a47688cc9843201e745453b30b46c5b3212e454b357067f5e51992664963a9f0902c272cb02967eff8f3bf98d5e9b52899d764150ba9c8b47802a,138.0,20.0,6.9,138.0,1.0,16.0,38.0,13.0,5.0,52.0,8.0,16,5.62126142838422,0.009653091430664,0.0001821517944335,95.12443161010742,531.9715285578446,95.56144428253174,1,95.56144428253174,85.6,,85.6,85.6,85.6,85.6,,,85.6,1
4724,e9150a2f8d1c2ff7aea0447176446d9a48fc917f2ec07c1f393be145b8d43279810d3630751758b9d6c661951c7b3890f7105463d89a4747599356a18f2b340e,213.0,24.0,8.875,207.0,0.971830985915493,11.0,52.0,12.0,23.0,47.0,20.0,13,0.127263069152832,0.015388011932373,0.001260757446289,1.368303298950195,0.1295940514971264,1.781682968139648,1,1.781682968139648,66.35499999999999,382.4654333333333,76.2,37.02,76.1,265.42,-1.9999651187311964,9.778361740768917,76.1,1
2072,c9ec5fc873be07b2b8553c3e593b310eb6f602fc6b242120923951c43954a23fc4ece7613585b461070d9528c39f6e19696d809241ce3d286719140e2b3f79f8,67.0,7.0,9.571428571428571,66.0,0.9850746268656716,11.0,25.0,9.0,4.0,21.0,5.0,14,3.404770914713542,0.0047578811645507,0.0006294250488281,50.33145046234131,168.54258512270923,51.071563720703125,1,51.071563720703125,44.736,2584.6284800000003,135.68,22.0,22.0,223.68,2.2360679774997894,22.736,22.0,1
2059,f5d05307d305fedcda0ab2481405583e71e4d1ec0433a1b43865673220b3f5bffdfffd20a0e32576b573cbdc220c0c4f629265dc82edfe08c71adb1eed14ac55,127.0,87.0,1.4597701149425288,62.0,0.4881889763779528,12.0,62.0,7.0,1.0,29.0,6.0,12,0.1325702667236328,0.0193309783935546,0.001504898071289,1.2862024307250977,0.1218120046793652,1.7234134674072266,1,1.7234134674072266,,,,,,0.0,,,,1
4722,82a8faf0b09ecf9be38e5827664db3c75d9c4a52e1c19bd4e3fa793c730c15d50cdefab3122f4c952f1e6155339aa976ba3f8bc9f1c6f900173298c8ab01daaf,600.0,104.0,5.769230769230769,546.0,0.91,12.0,68.0,22.0,18.0,48.0,31.0,0,0.0,0.0,0.0,0.0,,0.0,0,,113.9375,7363.934335714286,323.06,73.5,76.44,911.5,2.664698033195828,30.33960764354552,76.44,1
2062,f89c1800a837c333b7eb98f5c3ec73c9614a97b339d235e134fd18408c6d1341db858539c0c95edc6dd93e3af628d7df19e0742ebc4ab32f200713bcd76423b0,105.0,15.0,7.0,99.0,0.9428571428571428,17.0,52.0,9.0,9.0,74.0,10.0,18,7.7982686996459964,0.0214762687683105,0.0032997131347656,79.11056613922119,570.7017449966355,155.96537399291992,1,155.96537399291992,56.87,,56.87,56.87,56.87,56.87,,,56.87,1
4719,de27673fab6fd8525bbeaa81c051adf6f3d4207a6ade4b9c88e633946f674f6635303556dc3ede744284d4526fb245504427a1ef5a33a77646c5d1e4c6100455,78.0,6.0,13.0,77.0,0.9871794871794872,12.0,22.0,10.0,14.0,35.0,8.0,7,0.1073453903198242,0.0073657035827636,0.0006179809570312,0.8005447387695312,0.0628985684779359,1.0734539031982422,2,0.5367269515991211,11.8,87.47999999999999,17.2,1.0,17.2,35.4,-1.7320508075688767,5.4,17.2,1
2065,faae64a287cca453f8319f9d8a97740c99a439107008e72099138e229abb3ddae885525e2419fe7087fd6bd6fa627cd0f4822bded8eeda6ad209f4cb8c97ab5e,60.0,12.0,5.0,59.0,0.9833333333333332,12.0,17.0,9.0,3.0,33.0,6.0,0,0.0,0.0,0.0,0.0,,0.0,0,,247.16,117661.005,489.71,4.61,247.16,494.32,,242.54999999999995,247.16,1
2066,46b9a58b946392b4746f46ac2200ecee271b31fc48f559cacab173f54bb916fd937e98f9819250ae79c6f228303645a9e08c4e54ed16dcc36078ff0954305255,19.0,5.0,3.8,17.0,0.8947368421052632,14.0,6.0,5.0,26.0,9.0,4.0,0,0.0,0.0,0.0,0.0,,0.0,0,,58.08,,58.08,58.08,58.08,58.08,,,58.08,1
2068,34d51203813ddb5673ed430a229dc94291d830500ed6b8dbc32728afd6830cb5c766ad575d7c7b2387de15fdaf27669441345a2c7d9e0a1625fee82689399aef,79.0,7.0,11.285714285714286,79.0,1.0,16.0,27.0,10.0,9.0,46.0,5.0,2,0.0090246200561523,0.0063838958740233,6.4849853515625e-05,0.0232658386230468,0.0001232304797061,0.0360984802246092,1,0.0360984802246092,11.8,87.47999999999999,17.2,1.0,17.2,35.4,-1.7320508075688767,5.4,17.2,1
4694,c81e2079407588e9dc87600da7f20643ccf1b7c79962964d3b5958bc3afd75e06cae38cac4bb63b11127c07a24e273b9922300485093bccb3b1d2480cebdc10a,147.0,15.0,9.8,130.0,0.8843537414965986,10.0,30.0,9.0,16.0,48.0,6.0,8,16.047742631700302,0.0086011886596679,0.0005865097045898,144.3493480682373,2314.87068286639,144.4296836853027,1,144.4296836853027,83.78,,83.78,83.78,83.78,83.78,,,83.78,1
2106,a364c848fe68b76cd2e6e38010c9d4bad779153de55145b3d61a514024a023b85337b960d4a3018772040b4220f1fefa248974ef397ba88c4458e2c40782dc8f,388.0,50.0,7.76,387.0,0.9974226804123713,15.0,56.0,16.0,10.0,51.0,31.0,0,0.0,0.0,0.0,0.0,,0.0,0,,41.56125,49.60715535714287,58.99,39.0,39.0,332.49,2.826897975409767,2.490159516907071,39.0,1
2471,d3613bd435c498f6328032b0334e16d7f91b2aa5e0de76738c226eb46f85256ad3dc6ad492b1bec93afb041ee76d408d66e18c2bf056de0d4f5e8f62e6ca11ce,1996.0,294.0,6.789115646258503,1944.0,0.9739478957915833,9.0,185.0,24.0,2.0,100.0,31.0,367,38.54362058416705,0.1765394210815429,7.43865966796875e-05,12671.264872550964,143100.7883869157,65986.678440094,7,9426.668348584855,151.0675,3710.044021428571,274.39,104.0,129.95,1208.54,1.280533772013366,21.53498322912213,129.95,1
4650,b31ad604ed4dca3980aa3fba0fdd181fb64ad9981e24bd0e79e2fc356b07bde0f5c7963565a9bb19968cd28d28bba6c8cc08fbf4f08e2b5757244a6b20ae2055,33.0,9.0,3.6666666666666665,30.0,0.9090909090909092,8.0,12.0,7.0,1.0,8.0,6.0,0,0.0,0.0,0.0,0.0,,0.0,0,,61.225,6972.624049999999,120.27,2.18,61.225,122.45,,59.045,61.225,1
2150,6ceb7848fcd248cc2352d447b99038bb28b69ca0fdbc87e6cc0ff6d67ff0215e69f0624268e07963e94b8c42a3061f00a94ac55731aea6f6039de05ff9453491,117.0,17.0,6.882352941176471,102.0,0.8717948717948718,10.0,24.0,12.0,19.0,33.0,12.0,0,0.0,0.0,0.0,0.0,,0.0,0,,24.124,1112.89728,83.54,3.88,11.0,120.62,2.185978957717508,14.919097023613729,11.0,1
4662,43814ad306dc248d9af92f204e3ddced3b7b971c9953a895bd6f66cb8af52651b9694b0cbf90b90e9aaf5fde94ed8780221c7467d9aa0b8911e611fcbb0917a9,50.0,4.0,12.5,47.0,0.94,11.0,10.0,8.0,10.0,20.0,6.0,14,5.860456339518229,0.0570316314697265,0.0022430419921875,86.2617359161377,494.7578814372923,87.90684509277344,1,87.90684509277344,99.17,,99.17,99.17,99.17,99.17,,,99.17,1
2155,59d975806b089156f17d740dd921d9125d94d0ece92042f5d7ca87b9b6d76ae0b0fafb403da0132db8764b72d40a5741fe85e5534fb041f9527fd8cd99c945ba,47.0,15.0,3.1333333333333333,44.0,0.9361702127659576,15.0,11.0,9.0,9.0,14.0,9.0,10,0.0280526768077503,0.0078229904174804,0.001617431640625,0.1577444076538086,0.0024166023924904,0.3085794448852536,1,0.3085794448852536,17.802500000000002,5.736024999999998,19.0,14.21,19.0,71.21000000000001,-2.000000000000004,1.1974999999999998,19.0,1
4657,7e0e320677d3bb5f42f70dea122709e936907ff6b2482c0bbabc23c1356a184715b881de0e6ba5e3b9796c42aa5cdef6f773b058b1700511cb510152b9b18fef,61.0,5.0,12.2,61.0,1.0,14.0,33.0,5.0,19.0,49.0,2.0,0,0.0,0.0,0.0,0.0,,0.0,0,,11.79,,11.79,11.79,11.79,11.79,,,11.79,1
2159,d817c7ce47b7caf0d5aaff633fed1a19cfcbd9f006d21c35f8a05d57be13d06e5453eaa009b286e24763cf7c5ef700c923efda9cd707262ea92ae8868a429b5c,348.0,15.0,23.2,308.0,0.8850574712643678,7.0,138.0,14.0,20.0,42.0,29.0,1,0.0024795532226562,0.0024795532226562,0.0024795532226562,0.0024795532226562,,0.0024795532226562,1,0.0024795532226562,22.21,579.3463,49.6,4.43,12.6,66.63,1.51026213437873,13.896597905002986,12.6,1
4653,075aa9747212d3bc527a8d9a7089cd60b1dfa357040f805d545dc110a3be857f30805250b017fdc38eb12c4a9e2e9c0060316aa863ce860a3877df9f1860c338,59.0,5.0,11.8,57.0,0.9661016949152542,12.0,40.0,5.0,25.0,36.0,4.0,20,1.08905824025472,0.0155963897705078,0.0026102066040039,21.52315902709961,21.934765021607053,22.87022304534912,1,22.87022304534912,50.89,3321.125,91.64,10.14,50.89,101.78,,40.75,50.89,1
2165,cdaeb3c44804913fc93f18cd5bb46a6bccf34564e55f447e039777d4a185af490de70dc8b28685a5f2516b54cdebf9908e4ba5f4f2840483b5e77a3de1404e72,124.0,12.0,10.333333333333334,123.0,0.9919354838709676,13.0,25.0,13.0,27.0,23.0,15.0,0,0.0,0.0,0.0,0.0,,0.0,0,,35.0,867.0,52.0,1.0,52.0,105.0,-1.7320508075688772,17.0,52.0,1
4649,5cdb3107eaab5c90e3fe43f7c418836d4ef3f8b18d3b6db46e73083ceff14155b9ec0124da03d705086a691b70d4e4098c57e77acf72aa54796fd970b85df52b,844.0,65.0,12.984615384615385,767.0,0.9087677725118484,11.0,181.0,17.0,31.0,90.0,31.0,114,3.021940353370848,0.061044692993164,9.5367431640625e-05,126.30440139770508,128.61471086672114,1015.371958732605,6,169.2286597887675,62.943333333333335,397.4616666666666,71.9,22.26,70.85,377.66,-2.446294070116956,8.139017822262776,70.85,1
2146,23f94f741838f810bcc3f637e99fb60ba964985d7e02bdcd73f8bde4d872d2043f000b10981905edac3220c8a142934a1197290e0f2c4170ef753a36dc0fb80c,689.0,19.0,36.26315789473684,623.0,0.9042089985486212,7.0,233.0,16.0,29.0,68.0,27.0,1,0.0035805702209472,0.0039081573486328,6.4849853515625e-05,0.0064411163330078,1.1196467615566966e-05,0.014322280883789,3,0.0047740936279296,48.31714285714286,322.5500571428572,56.1,7.62,54.6,338.22,-2.637082447777628,6.788120475642484,54.6,1
4646,112f33336cbe1fbe67a769e20580fcba0a945d0ba02a10e54d73a9e5f3eb862a7e189ee4df7edfab3af0fe610e1f35489c5d86c76f78673fffac0a1afe4ad291,459.0,253.0,1.8142292490118577,453.0,0.9869281045751634,20.0,48.0,24.0,4.0,68.0,23.0,0,0.0,0.0,0.0,0.0,,0.0,0,,,,,,,0.0,,,,1
2171,24466491e526d972bfd1e3486ca9fbde3d8fbfc41e9175857ae66a86380c9786eedd00d67f2a6af7d8eb90a1a54ea48f074fc122794a856a4185024b55a5f706,49.0,6.0,8.166666666666666,46.0,0.9387755102040816,11.0,19.0,7.0,9.0,14.0,6.0,8,2.425684716966417,0.0126876831054687,0.0021209716796875,21.67323303222656,52.09786451808729,21.83116245269775,1,21.83116245269775,44.67,,44.67,44.67,44.67,44.67,,,44.67,1
2173,1fcdfb48366e4fc7b5826229d1a93d970a601c2abc23044413d30329a680fd4b45c1370f3932e812da0a97ee2f239ec3ead6431246fa18a180ed70c0dc9e7795,726.0,178.0,4.078651685393258,724.0,0.9972451790633609,15.0,314.0,10.0,29.0,470.0,26.0,25,1.2177984961147963,0.0276641845703125,9.822845458984376e-05,24.98162078857422,22.16844421739708,35.3161563873291,2,17.65807819366455,66.42,207.26479999999984,76.6,56.24,66.42,132.84,,10.179999999999994,66.42,1
4644,bb5474990e56f16723f19e7adaa13cbf8fb32ebcf48e062d9334d60067ad8cb00d7123d18471814dc200fc85a4e342ed5e4d0c7db63c90a170c62dd542a6604f,129.0,18.0,7.166666666666667,127.0,0.9844961240310076,14.0,25.0,13.0,13.0,29.0,22.0,33,0.110063784831279,0.0169591903686523,8.7738037109375e-05,1.0837345123291016,0.0480800401406468,4.072360038757324,2,2.036180019378662,2.1833333333333336,1.0808333333333335,2.95,1.0,2.6,6.550000000000001,-1.5138291254971832,0.600231436845637,2.6,1
2175,e4f3fae050c87cead43612f7b8e43b59290ae8ce612dfc2bfddb1bcf3db1c7667bc19fe5ce9f7f10ab376ca85882b4d6f23f980c583c1b099fd624c78902b694,114.0,19.0,6.0,106.0,0.9298245614035088,13.0,42.0,10.0,3.0,38.0,8.0,8,0.0271494123670789,0.0097131729125976,0.0029020309448242,0.1637001037597656,0.0026431115727013,0.2443447113037105,1,0.2443447113037105,544.52,,544.52,544.52,544.52,544.52,,,544.52,1
2177,5f372244d3b6eb2fb835cbcb8f944f5e82e490c6ed4f1c2ab83361f718637833479e554a19cc542c4eb744be679103f04dae7028f2a10ab8f1c1791bc862382f,38.0,9.0,4.222222222222222,35.0,0.9210526315789472,11.0,24.0,6.0,21.0,25.0,3.0,22,0.1538921439129373,0.0200099945068359,0.0012397766113281,2.2422409057617188,0.2155251779313187,3.5395193099975586,1,3.5395193099975586,15.803333333333333,52.83603333333333,20.0,7.41,20.0,47.41,-1.7320508075688763,4.196666666666667,20.0,1
2178,7622e27f2e18d656f261fbd8942d709199ab1ecbbc0d993b8cd6c20b4b1fad6a6e04856943579bfd89b04c9e22802ca2be02c4e5d7e3c624ccda7fdc82fee31f,123.0,9.0,13.666666666666666,123.0,1.0,14.0,21.0,16.0,21.0,18.0,23.0,0,0.0,0.0,0.0,0.0,,0.0,0,,11.0,0.0,11.0,11.0,11.0,88.0,0.0,0.0,11.0,1
2149,0f80f828d4403bf2390d72eff16ab43df94c08d004cb2034be76cd43b6d29c9d6d7de24863e46bfb6eed49203875101a496f394ed9d80a200aa9280753e2ec5c,47.0,10.0,4.7,45.0,0.9574468085106383,14.0,14.0,5.0,22.0,27.0,3.0,0,0.0,0.0,0.0,0.0,,0.0,0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1
